CodigoVariable;Fecha;CodigoDuracion;UnidadMedida;CodigoPlanta;Configuracion;Valor
POF_Declarado;24/07/2025;PT1D;COP/kWh;TEC1;2;1486.46
POF_Declarado;24/07/2025;PT1D;COP/kWh;TFL1;1;1120.05
POF_Declarado;24/07/2025;PT1D;COP/kWh;3IZ6;0;87
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;1;1709.07
POF_Declarado;24/07/2025;PT1D;COP/kWh;GYPO;0;94.02
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;4;839.6
POF_Declarado;24/07/2025;PT1D;COP/kWh;CHVR;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;MATA;0;87
POF_Declarado;24/07/2025;PT1D;COP/kWh;TVL1;3;1200
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;5;1767.41
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRM1;2;2202.67
POF_Declarado;24/07/2025;PT1D;COP/kWh;TCDT;2;1120.45
POF_Declarado;24/07/2025;PT1D;COP/kWh;3IRX;0;87
POF_Declarado;24/07/2025;PT1D;COP/kWh;TVL1;1;1225.79
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRM1;3;2596.18
POF_Declarado;24/07/2025;PT1D;COP/kWh;MOY1;0;104.41
POF_Declarado;24/07/2025;PT1D;COP/kWh;HMIN;0;89
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSR1;2;1842.94
POF_Declarado;24/07/2025;PT1D;COP/kWh;PES1;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSJ1;0;287
POF_Declarado;24/07/2025;PT1D;COP/kWh;TDR1;0;2264.76
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSJ2;0;345
POF_Declarado;24/07/2025;PT1D;COP/kWh;3INX;0;88
POF_Declarado;24/07/2025;PT1D;COP/kWh;SOG1;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;ALBG;0;105
POF_Declarado;24/07/2025;PT1D;COP/kWh;DVS1;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;CTG2;0;1732.36
POF_Declarado;24/07/2025;PT1D;COP/kWh;SLVJ;0;455
POF_Declarado;24/07/2025;PT1D;COP/kWh;TGJ2;0;540.68
POF_Declarado;24/07/2025;PT1D;COP/kWh;TFL4;4;1534.69
POF_Declarado;24/07/2025;PT1D;COP/kWh;PPA1;0;281.59
POF_Declarado;24/07/2025;PT1D;COP/kWh;PRC3;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;3IQA;0;85.13
POF_Declarado;24/07/2025;PT1D;COP/kWh;PRDO;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;ZPA4;0;362
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSR1;5;1176.49
POF_Declarado;24/07/2025;PT1D;COP/kWh;3ENA;0;821.96
POF_Declarado;24/07/2025;PT1D;COP/kWh;TYP3;0;94
POF_Declarado;24/07/2025;PT1D;COP/kWh;CLMG;0;450
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;9;902.05
POF_Declarado;24/07/2025;PT1D;COP/kWh;TVL1;2;1184.54
POF_Declarado;24/07/2025;PT1D;COP/kWh;TYP5;0;94.5
POF_Declarado;24/07/2025;PT1D;COP/kWh;CHBG;0;103.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;PPA3;0;269.98
POF_Declarado;24/07/2025;PT1D;COP/kWh;GEC3;0;281.75
POF_Declarado;24/07/2025;PT1D;COP/kWh;CUC1;0;103.5
POF_Declarado;24/07/2025;PT1D;COP/kWh;TCDT;4;721.73
POF_Declarado;24/07/2025;PT1D;COP/kWh;ZPA3;0;340
POF_Declarado;24/07/2025;PT1D;COP/kWh;ESMR;0;103.11
POF_Declarado;24/07/2025;PT1D;COP/kWh;TYP4;0;865.2
POF_Declarado;24/07/2025;PT1D;COP/kWh;PPA4;0;292.12
POF_Declarado;24/07/2025;PT1D;COP/kWh;TSR1;1;1842.94
POF_Declarado;24/07/2025;PT1D;COP/kWh;SNFR;0;103.11
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRN1;0;942
POF_Declarado;24/07/2025;PT1D;COP/kWh;LTSJ;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;EPFV;0;94.02
POF_Declarado;24/07/2025;PT1D;COP/kWh;TYP1;0;865.22
POF_Declarado;24/07/2025;PT1D;COP/kWh;ZPA5;0;330
POF_Declarado;24/07/2025;PT1D;COP/kWh;PRG1;0;886.66
POF_Declarado;24/07/2025;PT1D;COP/kWh;GE32;0;287.84
POF_Declarado;24/07/2025;PT1D;COP/kWh;CTG1;0;1734.44
POF_Declarado;24/07/2025;PT1D;COP/kWh;3DDT;0;94.02
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBQ3;0;1146.22
POF_Declarado;24/07/2025;PT1D;COP/kWh;2QEK;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TFL4;1;973.35
POF_Declarado;24/07/2025;PT1D;COP/kWh;TRM1;4;1958.64
POF_Declarado;24/07/2025;PT1D;COP/kWh;JAGS;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TEC1;1;1486.46
POF_Declarado;24/07/2025;PT1D;COP/kWh;TVL1;4;1300
POF_Declarado;24/07/2025;PT1D;COP/kWh;GTPE;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;URA1;0;99
POF_Declarado;24/07/2025;PT1D;COP/kWh;ZPA2;0;377
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;8;1647.41
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;7;744.26
POF_Declarado;24/07/2025;PT1D;COP/kWh;SMI1;0;96.47
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;2;820.44
POF_Declarado;24/07/2025;PT1D;COP/kWh;TGJ1;0;561.64
POF_Declarado;24/07/2025;PT1D;COP/kWh;TCDT;3;754.78
POF_Declarado;24/07/2025;PT1D;COP/kWh;TBST;3;1910.46
