FechaHora,precio,demanda
2025-07-02 13:00:00,102.31,10423240
2025-07-02 14:00:00,107.82,10615810
2025-07-02 15:00:00,108.19,10697390
2025-07-02 16:00:00,108.19,10594350
2025-07-02 17:00:00,108.19,10399660
2025-07-02 18:00:00,108.19,11264780
2025-07-02 19:00:00,454.71,11507290
2025-07-02 20:00:00,184.71,11260930
2025-07-02 21:00:00,108.19,10352490
2025-07-02 22:00:00,107.82,9728380
2025-07-02 23:00:00,102.31,9156630
2025-07-02 00:00:00,101.08,8658850
2025-07-02 01:00:00,101.08,8379760
2025-07-02 02:00:00,101.08,8163530
2025-07-02 03:00:00,101.08,8051770
2025-07-02 04:00:00,101.08,8128600
2025-07-02 05:00:00,101.08,8415980
2025-07-02 06:00:00,101.08,8666390
2025-07-02 07:00:00,101.08,9101920
2025-07-02 08:00:00,101.08,9475190
2025-07-02 09:00:00,101.08,9756120
2025-07-02 10:00:00,101.08,10038050
2025-07-02 11:00:00,102.21,10341640
2025-07-02 12:00:00,102.21,10303380
2025-07-02 13:00:00,102.21,10423240
2025-07-02 14:00:00,107.72,10615810
2025-07-02 15:00:00,108.08,10697390
2025-07-02 16:00:00,108.08,10594350
2025-07-02 17:00:00,108.08,10399660
2025-07-02 18:00:00,108.08,11264780
2025-07-02 19:00:00,454.61,11507290
2025-07-02 20:00:00,184.61,11260930
2025-07-02 21:00:00,108.08,10352490
2025-07-02 22:00:00,107.72,9728380
2025-07-02 23:00:00,102.21,9156630
2025-07-02 00:00:00,107.0,8658850
2025-07-02 01:00:00,107.0,8379760
2025-07-02 02:00:00,107.0,8163530
2025-07-02 03:00:00,107.0,8051770
2025-07-02 04:00:00,107.0,8128600
2025-07-02 05:00:00,107.0,8415980
2025-07-02 06:00:00,107.0,8666390
2025-07-02 07:00:00,107.0,9101920
2025-07-02 08:00:00,107.0,9475190
2025-07-02 09:00:00,107.0,9756120
2025-07-02 10:00:00,107.0,10038050
2025-07-02 11:00:00,108.13,10341640
2025-07-02 12:00:00,108.13,10303380
2025-07-02 13:00:00,108.13,10423240
2025-07-02 14:00:00,113.64,10615810
2025-07-02 15:00:00,114.0,10697390
2025-07-02 16:00:00,114.0,10594350
2025-07-02 17:00:00,114.0,10399660
2025-07-02 18:00:00,114.0,11264780
2025-07-02 19:00:00,460.53,11507290
2025-07-02 20:00:00,190.53,11260930
2025-07-02 21:00:00,114.0,10352490
2025-07-02 22:00:00,113.64,9728380
2025-07-02 23:00:00,108.13,9156630
2025-07-02 00:00:00,101.08,8658850
2025-07-02 01:00:00,101.08,8379760
2025-07-02 02:00:00,101.08,8163530
2025-07-02 03:00:00,101.08,8051770
2025-07-02 04:00:00,101.08,8128600
2025-07-02 05:00:00,101.08,8415980
2025-07-02 06:00:00,101.08,8666390
2025-07-02 07:00:00,101.08,9101920
2025-07-02 08:00:00,101.08,9475190
2025-07-02 09:00:00,101.08,9756120
2025-07-02 10:00:00,101.08,10038050
2025-07-02 11:00:00,102.21,10341640
2025-07-02 12:00:00,102.21,10303380
2025-07-02 13:00:00,102.21,10423240
2025-07-02 14:00:00,107.72,10615810
2025-07-02 15:00:00,108.08,10697390
2025-07-02 16:00:00,108.08,10594350
2025-07-02 17:00:00,108.08,10399660
2025-07-02 18:00:00,108.08,11264780
2025-07-02 19:00:00,454.61,11507290
2025-07-02 20:00:00,184.61,11260930
2025-07-02 21:00:00,108.08,10352490
2025-07-02 22:00:00,107.72,9728380
